Session,Average Distance,Carbon Intensity,Water Stress,Average Latency,Download,Upload,Country/Province,International Data Exchange,GAFAM Data Exchange,Proportion Data Shared
2023-00-26,4132.285065082797,347.90885698958004,27.91617525934421,1246.2194045014066,928670324,21979160,Sweden,99.66267428618939,62.44138793372929,0.023667343977710652
2023-03-24,3916.5866237976293,422.93180829594326,29.245336179295624,410.9688368674981,691332101,19925419,Mexico,99.82717996000196,58.90215458021365,0.02882177606273197
2023-03-27,3168.03946105606,431.66597540300506,28.163222999107408,55.30303481106814,201275108,2097660,Mexico,99.82717996000196,98.3115144302291,0.010421855046278251
2023-03-28,3381.1678544453184,421.4959826469615,27.767637176050044,241.27846291331545,261187920,2342344,Mexico,99.82717996000196,70.18766756032171,0.008968041094703002
2023-05-08,2454.5409169939276,326.9144716223713,25.124666009652316,1634.4250786243279,1891677497,18983808,Germany,83.94416705145355,53.97614458180553,0.010035435760115721
2023-05-09,2627.8472104061966,392.7866018423237,28.157001630860353,528.1467643093877,1819984612,17501956,Germany,83.94416705145355,55.10534464387682,0.009616540647982138
2023-05-11,3816.602742654412,332.4594413172802,23.35899470760961,1105.8021563788159,3316625135,35645476,Germany,83.94416705145355,51.577673600682516,0.010747514280054445
2023-05-16,2632.728188270456,363.13859018600544,28.212576203294756,747.8223507939258,3470803877,49028158,Germany,83.94416705145355,50.813668174877215,0.014125879691703478
2023-06-08,3956.352827410082,208.52713849775523,8.127994986326344,521.5894257064722,840305324,6658356,Argentina,98.70949159135485,78.66453965360073,0.007923734159275659
2023-06-09,4304.605581645626,269.17932672411274,11.194122986020163,866.6812184208924,1184963940,10146601,Argentina,98.70949159135485,81.23211785475132,0.00856279305849594
2023-06-12,4044.8191620943417,242.4252289031056,10.314225513616817,583.105972288581,390141732,4646232,Argentina,98.70949159135485,78.19397993311037,0.011909087439023313
2023-06-13,4102.484123994098,257.45745996338945,13.642104572327383,591.0242334832107,2105799018,14481322,Argentina,98.70949159135485,73.84758071951967,0.006876877553943279
2023-06-15,3845.198446664003,244.67967891295493,9.922308224882352,530.8047079599844,850652231,13612340,Argentina,98.70949159135485,80.91831308134576,0.01600223863987021
2023-06-16,4483.606199788877,307.9177629621324,13.280659059610466,499.35016884692305,626696824,8051936,Argentina,98.70949159135485,71.39438051211435,0.012848215742673048
2023-07-03,2943.65324589018,423.51097682883835,31.828201278711816,1133.2108590642167,1006894521,14352349,Mexico,99.82717996000196,68.08107596135632,0.014254073987557233
2023-07-04,3012.209372600438,426.0299293313511,28.026039713738538,554.3513077659628,1094299892,8751548,Mexico,99.82717996000196,74.50486317593106,0.007997394556994072
2023-10-10,8963.337285384989,444.64088597948165,33.97070240139039,1400.0334766129545,449948176,4727840,KwaZulu Natal,94.47193629215892,33.43002943231626,0.010507521203953053
2023-10-11,8279.025091440417,490.5974282729684,39.44022527032439,549.790787860592,492100690,2946124,KwaZulu Natal,94.47193629215892,34.056393705121465,0.005986831678695675
2023-10-12,5812.892512610008,496.10909550281093,43.39526572573619,680.1012800553538,155797896,3685684,KwaZulu Natal,94.47193629215892,44.594360837225395,0.023656827817495046
2023-10-13,7648.499621384724,455.41188661204984,40.90093809222994,825.5413771320278,146951164,2584332,KwaZulu Natal,94.47193629215892,54.80101073910297,0.017586332286554734
2023-10-17,5931.129242703537,513.4519559877059,43.71603745044857,969.5730731122236,679044306,10231938,Gauteng,94.47193629215892,39.32780559032123,0.01506814490540769
2023-10-18,8260.342368522694,472.14330046786563,37.26700249179858,575.1465878559914,585338558,9166763,Gauteng,94.47193629215892,36.77950922443131,0.015660617047544644
2023-10-19,6418.041475327567,485.6926139245181,41.28874920715464,639.068507481613,571358066,10468524,Gauteng,94.47193629215892,40.67968551864063,0.01832217767273106
